,acc,DeltaG,DeltaS
fr,54.6,17.300000000000004,17.89999999999999
es,54.3,12.600000000000009,14.799999999999997
it,43.6,25.5,18.700000000000003
ar,48.2,37.8,13.499999999999993
he,48.0,13.700000000000003,41.39999999999999
ru,39.7,34.7,15.100000000000009
