,acc,DeltaG,DeltaS
fr,44.6,36.9,19.39999999999999
es,40.8,33.0,24.200000000000003
de,74.1,0.0,8.700000000000003
it,41.9,36.699999999999996,14.800000000000004
ar,45.0,47.1,10.799999999999997
he,44.0,21.9,28.099999999999994
ru,36.8,42.0,16.299999999999997
uk,41.3,46.9,12.0
