,acc,DeltaG,DeltaS
fr,62.6,6.499999999999993,23.099999999999994
es,48.4,20.700000000000003,14.100000000000001
de,59.4,12.600000000000009,10.399999999999999
it,41.9,31.199999999999996,20.199999999999996
ar,45.9,42.5,11.5
he,50.8,11.5,32.5
ru,37.7,36.8,18.200000000000003
uk,38.4,43.599999999999994,12.899999999999991
