,acc,DeltaG,DeltaS
fr,43.9,44.4,7.900000000000006
es,40.9,44.3,14.100000000000001
de,48.6,34.5,7.300000000000004
it,41.7,46.8,6.900000000000006
ar,45.6,49.2,2.1000000000000014
he,43.2,27.699999999999996,19.700000000000003
ru,37.3,44.099999999999994,16.700000000000003
uk,28.9,22.3,12.399999999999999
