"SAMPLE_ID","SUBTYPE","CDH1","CSMD1","DMD","DST","FAT3","FLG","GATA3","HMCN1","HUWE1","MAP3K1","MUC16","PIK3CA","RUNX1","RYR2","SPTA1","SYNE1","TP53","TTN","USH2A","ZFHX4"
"TCGA-BH-A1FJ-01","BRCA_LumB"," 0.6479","-2.7273","-7.6297","-1.7480","-1.2524","-2.8711"," 2.0324","-2.4852","-0.7255"," 1.5891"," 0.6816","-2.7810"," 1.1044","-1.7000","-1.4486","-2.8334"," 1.3236","-1.4623"," 0.8973","-2.5396"
"TCGA-BH-A1FL-01","BRCA_LumA","-1.0717","-2.7286","-6.6612","-4.7746","-0.7834","-1.5240"," 2.0215","-0.8046","-0.1373"," 1.5349","-2.2210","-1.1966"," 1.0789","-0.3296","-0.9468","-3.7025"," 1.4821","-0.5226"," 0.4971","-1.8537"
"TCGA-BH-A1FM-01","BRCA_LumB"," 0.6257","-0.3577","-7.1838","-3.9278"," 0.7007","-1.5652"," 2.3453"," 0.4458"," 1.2711","-0.0174"," 0.6664"," 0.1815"," 0.4124","-0.8013","-2.0929","-3.0000"," 0.5658","-1.7264"," 2.3751"," 0.3745"
"TCGA-BH-A1FN-01","BRCA_LumB"," 0.6032","-2.9480","-7.5317","-4.1926","-0.8611","-0.5536"," 1.5541","-1.1862","-0.0583"," 0.7649","-1.9372"," 0.8562"," 0.7013","-0.8556","-0.2800","-3.6969"," 0.9919","-1.6478","-0.4493","-1.7545"
"TCGA-BH-A1FR-01","BRCA_LumA"," 0.6760","-2.3232","-6.8760","-3.7453","-2.0741","-0.1880"," 2.1459","-2.4698","-0.3239","-0.0290","-2.6001","-1.7420","-0.6671","-0.8010","-0.6158","-3.6039","-0.1523","-0.8503"," 0.2464","-1.5442"
"TCGA-BH-A1FU-01","BRCA_Normal"," 0.6210","-0.0086","-3.1036","-1.5692"," 1.0721","-0.3850","-0.3593"," 0.9270"," 1.7700","-0.7789","-0.6992","-0.1506"," 0.9807"," 0.7173","-0.2049","-1.0410"," 1.4753","-1.2376","-3.6918"," 0.1462"
"TCGA-BH-A201-01","BRCA_LumA"," 0.5513"," 0.0396","-3.4428","-0.5124"," 0.8221"," 0.0156"," 1.2915"," 0.2254"," 0.1768"," 1.7440","-0.7424"," 0.8638"," 1.8947","-0.3693","-1.2297","-1.8690","-0.1925","-0.5969"," 1.0539","-0.5823"
"TCGA-BH-A202-01","BRCA_LumB"," 0.0662","-0.1579","-6.4755","-4.2551","-1.0952","-1.2906"," 0.6539","-0.6453"," 0.6649","-0.3050","-1.5095","-0.8669"," 0.8214"," 1.7730","-0.2179","-3.2074","-3.8622","-1.2621"," 1.8164","-0.7926"
"TCGA-BH-A203-01","BRCA_Her2"," 0.5652","-1.7099","-6.7330","-3.6760","-0.6370","-1.4296"," 0.9923","-1.2150","-0.3987"," 0.1031","-1.7534"," 1.0147"," 0.5527"," 2.3135"," 0.4230","-3.2398"," 1.5578"," 0.0176","-2.5874","-1.0221"
"TCGA-BH-A204-01","BRCA_LumB"," 0.3960","-2.6054","-5.0186","-2.3469","-0.1003","-3.3703"," 1.9756","-1.3738"," 1.1094","-0.1901","-3.2975"," 0.0335","-1.0973"," 0.4828","-1.6894","-2.8741"," 2.9900","-0.1566"," 0.2547","-1.1103"
"TCGA-BH-A208-01","BRCA_Normal"," 0.2685"," 0.6289","-2.9981","-2.2541"," 1.3822"," 0.3227","-1.8514"," 2.6304","-0.8392","-1.4518"," 0.1624"," 0.1260"," 1.5679"," 0.3274"," 0.4505","-0.3813","-0.7169","-1.0419","-1.6303"," 1.8282"
"TCGA-BH-A209-01","BRCA_LumB","-1.2135","-1.8367","-2.3852","-4.4318","-2.3008","-1.3768"," 1.4522","-1.2995"," 1.3783","-0.5133","-0.8358","-0.7748","-0.3145"," 0.1313"," 0.0371","-1.6625"," 1.4194"," 0.3113","-1.0392","-2.3099"
